# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType
ENSG00000083444	PLOD1	protein_coding
ENSG00000084070	SMAP2	protein_coding
ENSG00000084072	PPIE	protein_coding
ENSG00000084073	ZMPSTE24	protein_coding
ENSG00000084623	EIF3I	protein_coding
ENSG00000084628	NKAIN1	protein_coding
ENSG00000084636	COL16A1	protein_coding
ENSG00000084652	TXLNA	protein_coding
ENSG00000085433	WDR47	protein_coding
ENSG00000085465	OVGP1	protein_coding
ENSG00000085491	SLC25A24	protein_coding
ENSG00000085552	IGSF9	protein_coding
ENSG00000085831	TTC39A	protein_coding
ENSG00000085832	EPS15	protein_coding
ENSG00000085840	ORC1	protein_coding
ENSG00000085998	POMGNT1	protein_coding
ENSG00000085999	RAD54L	protein_coding
ENSG00000086015	MAST2	protein_coding
ENSG00000086619	ERO1LB	protein_coding
ENSG00000088035	ALG6	protein_coding
ENSG00000088280	ASAP3	protein_coding
ENSG00000090020	SLC9A1	protein_coding
ENSG00000090104	RGS1	protein_coding
ENSG00000090273	NUDC	protein_coding
ENSG00000090432	MUL1	protein_coding
ENSG00000090621	PABPC4	protein_coding
ENSG00000090686	USP48	protein_coding
ENSG00000091483	FH	protein_coding
ENSG00000092607	TBX15	protein_coding
ENSG00000092621	PHGDH	protein_coding
ENSG00000092847	EIF2C1	protein_coding
ENSG00000092850	TEKT2	protein_coding
ENSG00000092853	CLSPN	protein_coding
ENSG00000092969	TGFB2	protein_coding
ENSG00000092978	GPATCH2	protein_coding
ENSG00000094963	FMO2	protein_coding
ENSG00000094975	C1orf9	protein_coding
ENSG00000097021	ACOT7	protein_coding
ENSG00000097033	SH3GLB1	protein_coding
ENSG00000097046	CDC7	protein_coding
ENSG00000097096	SYDE2	protein_coding
ENSG00000099260	PALMD	protein_coding
ENSG00000107404	DVL1	protein_coding
ENSG00000116128	BCL9	protein_coding
ENSG00000116132	PRRX1	protein_coding
ENSG00000116133	DHCR24	protein_coding
ENSG00000116138	DNAJC16	protein_coding
ENSG00000116141	MARK1	protein_coding
ENSG00000116147	TNR	protein_coding
ENSG00000116151	MORN1	protein_coding
ENSG00000116157	GPX7	protein_coding
ENSG00000116161	CACYBP	protein_coding
ENSG00000116171	SCP2	protein_coding
ENSG00000116183	PAPPA2	protein_coding
ENSG00000116191	RALGPS2	protein_coding
ENSG00000116194	ANGPTL1	protein_coding
ENSG00000116198	CEP104	protein_coding
ENSG00000116199	FAM20B	protein_coding
ENSG00000116205	TCEANC2	protein_coding
ENSG00000116209	TMEM59	protein_coding
ENSG00000116212	LRRC42	protein_coding
ENSG00000116213	WRAP73	protein_coding
ENSG00000116218	NPHS2	protein_coding
ENSG00000116219	ESPNP	pseudogene
ENSG00000116221	MRPL37	protein_coding
ENSG00000116237	ICMT	protein_coding
ENSG00000116251	RPL22	protein_coding
ENSG00000116254	CHD5	protein_coding
ENSG00000116260	QSOX1	protein_coding
ENSG00000116266	STXBP3	protein_coding
ENSG00000116273	PHF13	protein_coding
ENSG00000116285	ERRFI1	protein_coding
ENSG00000116288	PARK7	protein_coding
ENSG00000116299	KIAA1324	protein_coding
ENSG00000116329	OPRD1	protein_coding
ENSG00000116337	AMPD2	protein_coding
ENSG00000116350	SRSF4	protein_coding
ENSG00000116353	MECR	protein_coding
ENSG00000116396	KCNC4	protein_coding
ENSG00000116406	EDEM3	protein_coding
ENSG00000116455	WDR77	protein_coding
ENSG00000116459	ATP5F1	protein_coding
ENSG00000116473	RAP1A	protein_coding
ENSG00000116478	HDAC1	protein_coding
ENSG00000116489	CAPZA1	protein_coding
ENSG00000116497	S100PBP	protein_coding
ENSG00000116514	RNF19B	protein_coding
ENSG00000116521	SCAMP3	protein_coding
ENSG00000116525	TRIM62	protein_coding
ENSG00000116539	ASH1L	protein_coding
ENSG00000116544	DLGAP3	protein_coding
ENSG00000116560	SFPQ	protein_coding
ENSG00000116574	RHOU	protein_coding
ENSG00000116580	GON4L	protein_coding
ENSG00000116584	ARHGEF2	protein_coding
ENSG00000116586	LAMTOR2	protein_coding
ENSG00000116604	MEF2D	protein_coding
ENSG00000116641	DOCK7	protein_coding
ENSG00000116649	SRM	protein_coding
ENSG00000116652	DLEU2L	protein_coding
ENSG00000116661	FBXO2	protein_coding
ENSG00000116663	FBXO6	protein_coding
ENSG00000116667	C1orf21	protein_coding
ENSG00000116668	SWT1	protein_coding
ENSG00000116670	MAD2L2	protein_coding
ENSG00000116675	DNAJC6	protein_coding
ENSG00000116678	LEPR	protein_coding
ENSG00000116679	IVNS1ABP	protein_coding
ENSG00000116685	KIAA2013	protein_coding
ENSG00000116688	MFN2	protein_coding
ENSG00000116690	PRG4	protein_coding
ENSG00000116691	MIIP	protein_coding
ENSG00000116698	SMG7	protein_coding
ENSG00000116701	NCF2	protein_coding
ENSG00000116703	PDC	protein_coding
ENSG00000116704	SLC35D1	protein_coding
ENSG00000116711	PLA2G4A	protein_coding
ENSG00000116717	GADD45A	protein_coding
ENSG00000116721	PRAMEF1	protein_coding
ENSG00000116726	PRAMEF12	protein_coding
ENSG00000116729	WLS	protein_coding
ENSG00000116731	PRDM2	protein_coding
ENSG00000116741	RGS2	protein_coding
ENSG00000116745	RPE65	protein_coding
ENSG00000116747	TROVE2	protein_coding
ENSG00000116748	AMPD1	protein_coding
ENSG00000116750	UCHL5	protein_coding
ENSG00000116752	BCAS2	protein_coding
ENSG00000116754	SRSF11	protein_coding
ENSG00000116761	CTH	protein_coding
ENSG00000116771	AGMAT	protein_coding
ENSG00000116774	OLFML3	protein_coding
ENSG00000116783	FPGT-TNNI3K	protein_coding
ENSG00000116785	CFHR3	protein_coding
ENSG00000116786	PLEKHM2	protein_coding
ENSG00000116791	CRYZ	protein_coding
ENSG00000116793	PHTF1	protein_coding
ENSG00000116809	ZBTB17	protein_coding
ENSG00000116815	CD58	protein_coding
ENSG00000116819	TFAP2E	protein_coding
ENSG00000116824	CD2	protein_coding
ENSG00000116830	TTF2	protein_coding
ENSG00000116833	NR5A2	protein_coding
ENSG00000116852	KIF21B	protein_coding
ENSG00000116857	TMEM9	protein_coding
ENSG00000116863	ADPRHL2	protein_coding
ENSG00000116871	MAP7D1	protein_coding
ENSG00000116874	WARS2	protein_coding
ENSG00000116882	HAO2	protein_coding
ENSG00000116883	AL591845.1	protein_coding
ENSG00000116885	OSCP1	protein_coding
ENSG00000116898	MRPS15	protein_coding
ENSG00000116903	EXOC8	protein_coding
ENSG00000116906	GNPAT	protein_coding
ENSG00000116918	TSNAX	protein_coding
ENSG00000116922	C1orf109	protein_coding
ENSG00000116954	RRAGC	protein_coding
ENSG00000116957	TBCE	protein_coding
ENSG00000116962	NID1	protein_coding
ENSG00000116977	LGALS8	protein_coding
ENSG00000116981	NT5C1A	protein_coding
ENSG00000116983	HPCAL4	protein_coding
ENSG00000116984	MTR	protein_coding
ENSG00000116985	BMP8B	protein_coding
ENSG00000116990	MYCL1	protein_coding
ENSG00000116991	SIPA1L2	protein_coding
ENSG00000116996	ZP4	protein_coding
ENSG00000117000	RLF	protein_coding
ENSG00000117009	KMO	protein_coding
ENSG00000117010	ZNF684	protein_coding
ENSG00000117013	KCNQ4	protein_coding
ENSG00000117016	RIMS3	protein_coding
ENSG00000117020	AKT3	protein_coding
ENSG00000117036	ETV3	protein_coding
ENSG00000117054	ACADM	protein_coding
ENSG00000117069	ST6GALNAC5	protein_coding
ENSG00000117090	SLAMF1	protein_coding
ENSG00000117091	CD48	protein_coding
ENSG00000117114	LPHN2	protein_coding
ENSG00000117115	PADI2	protein_coding
ENSG00000117118	SDHB	protein_coding
ENSG00000117122	MFAP2	protein_coding
ENSG00000117133	RPF1	protein_coding
ENSG00000117139	KDM5B	protein_coding
ENSG00000117143	UAP1	protein_coding
ENSG00000117148	ACTL8	protein_coding
ENSG00000117151	CTBS	protein_coding
ENSG00000117152	RGS4	protein_coding
ENSG00000117153	KLHL12	protein_coding
ENSG00000117154	IGSF21	protein_coding
ENSG00000117155	SSX2IP	protein_coding
ENSG00000117174	ZNHIT6	protein_coding
ENSG00000117215	PLA2G2D	protein_coding
ENSG00000117222	RBBP5	protein_coding
ENSG00000117226	GBP3	protein_coding
ENSG00000117228	GBP1	protein_coding
ENSG00000117242	PINK1-AS1	processed_transcript
ENSG00000117245	KIF17	protein_coding
ENSG00000117262	GPR89A	protein_coding
ENSG00000117266	CDK18	protein_coding
ENSG00000117280	RAB7L1	protein_coding
ENSG00000117281	CD160	protein_coding
ENSG00000117289	TXNIP	protein_coding
ENSG00000117298	ECE1	protein_coding
ENSG00000117305	HMGCL	protein_coding
ENSG00000117308	GALE	protein_coding
ENSG00000117318	ID3	protein_coding
ENSG00000117322	CR2	protein_coding
ENSG00000117335	CD46	protein_coding
ENSG00000117360	PRPF3	protein_coding
ENSG00000117362	APH1A	protein_coding
ENSG00000117385	LEPRE1	protein_coding
ENSG00000117394	SLC2A1	protein_coding
ENSG00000117395	EBNA1BP2	protein_coding
ENSG00000117399	CDC20	protein_coding
ENSG00000117400	MPL	protein_coding
ENSG00000117407	ARTN	protein_coding
ENSG00000117408	IPO13	protein_coding
ENSG00000117410	ATP6V0B	protein_coding
ENSG00000117411	B4GALT2	protein_coding
ENSG00000117419	ERI3	protein_coding
ENSG00000117425	PTCH2	protein_coding
ENSG00000117448	AKR1A1	protein_coding
ENSG00000117450	PRDX1	protein_coding
ENSG00000117461	PIK3R3	protein_coding
ENSG00000117472	TSPAN1	protein_coding
ENSG00000117475	BLZF1	protein_coding
ENSG00000117477	C1orf114	protein_coding
ENSG00000117479	SLC19A2	protein_coding
ENSG00000117480	FAAH	protein_coding
ENSG00000117481	NSUN4	protein_coding
ENSG00000117500	TMED5	protein_coding
ENSG00000117501	C1orf129	protein_coding
ENSG00000117505	DR1	protein_coding
ENSG00000117507	FMO6P	protein_coding
ENSG00000117519	CNN3	protein_coding
ENSG00000117523	PRRC2C	protein_coding
ENSG00000117525	F3	protein_coding
ENSG00000117528	ABCD3	protein_coding
ENSG00000117533	VAMP4	protein_coding
ENSG00000117543	DPH5	protein_coding
ENSG00000117560	FASLG	protein_coding
ENSG00000117569	PTBP2	protein_coding
ENSG00000117586	TNFSF4	protein_coding
ENSG00000117592	PRDX6	protein_coding
ENSG00000117593	DARS2	protein_coding
ENSG00000117594	HSD11B1	protein_coding
ENSG00000117595	IRF6	protein_coding
ENSG00000117597	DIEXF	protein_coding
ENSG00000117598	LPPR5.1	protein_coding
ENSG00000117600	RP4-788L13.1.1	protein_coding
ENSG00000117601	SERPINC1	protein_coding
ENSG00000117602	RCAN3	protein_coding
ENSG00000117614	SYF2	protein_coding
ENSG00000117616	C1orf63	protein_coding
ENSG00000117620	SLC35A3	protein_coding
ENSG00000117625	RCOR3	protein_coding
ENSG00000117632	STMN1	protein_coding
ENSG00000117640	FAM54B	protein_coding
ENSG00000117643	MAN1C1	protein_coding
ENSG00000117650	NEK2	protein_coding
ENSG00000117676	RPS6KA1	protein_coding
ENSG00000117682	DHDDS	protein_coding
ENSG00000117691	NENF	protein_coding
ENSG00000117697	NSL1	protein_coding
ENSG00000117707	PROX1	protein_coding
ENSG00000117713	ARID1A	protein_coding
ENSG00000117724	CENPF	protein_coding
ENSG00000117748	RPA2	protein_coding
ENSG00000117751	PPP1R8	protein_coding
ENSG00000117758	STX12	protein_coding
ENSG00000117791	MARC2	protein_coding
ENSG00000117834	SLC5A9	protein_coding
ENSG00000117859	OSBPL9	protein_coding
ENSG00000117862	TXNDC12	protein_coding
ENSG00000118193	KIF14	protein_coding
ENSG00000118194	TNNT2	protein_coding
ENSG00000118197	DDX59	protein_coding
ENSG00000118200	CAMSAP2	protein_coding
ENSG00000118217	ATF6	protein_coding
ENSG00000118292	C1orf54	protein_coding
ENSG00000118298	CA14	protein_coding
ENSG00000118454	ANKRD13C	protein_coding
ENSG00000118473	SGIP1	protein_coding
ENSG00000118655	DCLRE1B	protein_coding
ENSG00000118729	CASQ2	protein_coding
ENSG00000118733	OLFM3	protein_coding
ENSG00000118873	RAB3GAP2	protein_coding
ENSG00000119280	C1orf198	protein_coding
ENSG00000119283	TRIM67	protein_coding
ENSG00000119285	HEATR1	protein_coding
ENSG00000119535	CSF3R	protein_coding
ENSG00000120332	TNN	protein_coding
ENSG00000120333	MRPS14	protein_coding
ENSG00000120334	CENPL	protein_coding
ENSG00000120337	TNFSF18	protein_coding
ENSG00000120341	SEC16B.1	protein_coding
ENSG00000120370	GORAB	protein_coding
ENSG00000120656	TAF12	protein_coding
ENSG00000120937	NPPB	protein_coding
ENSG00000120942	UBIAD1	protein_coding
ENSG00000120948	TARDBP	protein_coding
ENSG00000120949	TNFRSF8	protein_coding
ENSG00000120952	PRAMEF2	protein_coding
ENSG00000121310	ECHDC2	protein_coding
ENSG00000121446	RGSL1	protein_coding
ENSG00000121454	LHX4	protein_coding
ENSG00000121481	RNF2	protein_coding
ENSG00000121486	TRMT1L	protein_coding
ENSG00000121634	GJA8	protein_coding
ENSG00000121644	PPPDE1	protein_coding
ENSG00000121753	BAI2	protein_coding
ENSG00000121764	HCRTR1	protein_coding
ENSG00000121766	ZCCHC17	protein_coding
ENSG00000121769	FABP3	protein_coding
ENSG00000121774	KHDRBS1	protein_coding
ENSG00000121775	TMEM39B	protein_coding
ENSG00000121848	RNF115	protein_coding
ENSG00000121851	POLR3GL	protein_coding
ENSG00000121900	TMEM54	protein_coding
ENSG00000121903	ZSCAN20	protein_coding
ENSG00000121904	CSMD2	protein_coding
ENSG00000121905	HPCA	protein_coding
ENSG00000121931	LRIF1	protein_coding
ENSG00000121933	ADORA3	protein_coding
ENSG00000121940	CLCC1	protein_coding
ENSG00000121957	GPSM2	protein_coding
ENSG00000122176	FMOD	protein_coding
ENSG00000122180	MYOG	protein_coding
ENSG00000122188	LAX1	protein_coding
ENSG00000122218	COPA	protein_coding
ENSG00000122223	CD244	protein_coding
ENSG00000122224	LY9	protein_coding
ENSG00000122406	RPL5	protein_coding
ENSG00000122417	ODF2L	protein_coding
ENSG00000122420	PTGFR	protein_coding
ENSG00000122432	SPATA1	pseudogene
ENSG00000122435	CCDC76	protein_coding
ENSG00000122477	LRRC39	protein_coding
ENSG00000122481	RWDD3	protein_coding
ENSG00000122482	ZNF644	protein_coding
ENSG00000122483	CCDC18	protein_coding
ENSG00000122484	RPAP2	protein_coding
ENSG00000122497	NBPF14	protein_coding
ENSG00000123080	CDKN2C	protein_coding
ENSG00000123091	RNF11	protein_coding
ENSG00000123472	ATPAF1	protein_coding
ENSG00000123473	STIL	protein_coding
ENSG00000123684	LPGAT1	protein_coding
ENSG00000123685	BATF3	protein_coding
ENSG00000123689	G0S2	protein_coding
ENSG00000123836	PFKFB2	protein_coding
ENSG00000123838	C4BPA	protein_coding
ENSG00000123843	C4BPB	protein_coding
ENSG00000125459	MSTO1	protein_coding
ENSG00000125462	C1orf61	protein_coding
ENSG00000125703	ATG4C	protein_coding
ENSG00000125944	HNRNPR	protein_coding
ENSG00000125945	ZNF436	protein_coding
ENSG00000126067	PSMB2	protein_coding
ENSG00000126070	EIF2C3	protein_coding
ENSG00000126088	UROD	protein_coding
ENSG00000126091	ST3GAL3	protein_coding
ENSG00000126106	TMEM53	protein_coding
ENSG00000126107	HECTD3	protein_coding
ENSG00000126698	DNAJC8	protein_coding
ENSG00000126705	AHDC1	protein_coding
ENSG00000126709	IFI6	protein_coding
ENSG00000127054	CPSF3L	protein_coding
ENSG00000127074	RGS13	protein_coding
ENSG00000127124	HIVEP3	protein_coding
ENSG00000127125	PPCS	protein_coding
ENSG00000127129	EDN2	protein_coding
ENSG00000127423	C1orf135	protein_coding
ENSG00000127463	KIAA0090	protein_coding
ENSG00000127472	PLA2G5	protein_coding
ENSG00000127481	UBR4	protein_coding
ENSG00000127483	HP1BP3	protein_coding
ENSG00000127603	MACF1	protein_coding
ENSG00000130695	CEP85	protein_coding
ENSG00000130762	ARHGEF16	protein_coding
ENSG00000130764	LRRC47	protein_coding
ENSG00000130766	SESN2	protein_coding
ENSG00000130768	SMPDL3B	protein_coding
ENSG00000130770	ATPIF1	protein_coding
ENSG00000130772	MED18	protein_coding
ENSG00000130775	C1orf38	protein_coding
ENSG00000130939	UBE4B	protein_coding
ENSG00000130940	CASZ1	protein_coding
ENSG00000131233	GJA9	protein_coding
ENSG00000131236	CAP1	protein_coding
ENSG00000131238	PPT1	protein_coding
ENSG00000131584	ACAP3	protein_coding
ENSG00000131591	C1orf159	protein_coding
ENSG00000131686	CA6	protein_coding
ENSG00000131697	NPHP4	protein_coding
ENSG00000131778	CHD1L	protein_coding
ENSG00000131779	PEX11B	protein_coding
ENSG00000131781	FMO5	protein_coding
ENSG00000131788	PIAS3	protein_coding
ENSG00000131791	PRKAB2	protein_coding
ENSG00000131795	RBM8A	protein_coding
ENSG00000131910	NR0B2	protein_coding
ENSG00000131914	LIN28A	protein_coding
ENSG00000132122	SPATA6	protein_coding
ENSG00000132128	LRRC41	protein_coding
ENSG00000132185	FCRLA	protein_coding
ENSG00000132196	HSD17B7	protein_coding
ENSG00000132485	ZRANB2	protein_coding
ENSG00000132676	DAP3	protein_coding
ENSG00000132677	RHBG	protein_coding
ENSG00000132680	KIAA0907	protein_coding
ENSG00000132681	ATP1A4	protein_coding
ENSG00000132688	NES	protein_coding
ENSG00000132692	BCAN	protein_coding
ENSG00000132693	CRP	protein_coding
ENSG00000132694	ARHGEF11	protein_coding
ENSG00000132698	RAB25	protein_coding
ENSG00000132702	HAPLN2	protein_coding
ENSG00000132703	APCS	protein_coding
ENSG00000132704	FCRL2	protein_coding
ENSG00000132716	DCAF8	protein_coding
ENSG00000132718	SYT11	protein_coding
ENSG00000132763	MMACHC	protein_coding
ENSG00000132768	DPH2	protein_coding
ENSG00000132773	TOE1	protein_coding
ENSG00000132780	NASP	protein_coding
ENSG00000132781	MUTYH	protein_coding
ENSG00000132849	INADL	protein_coding
ENSG00000132854	KANK4	protein_coding
ENSG00000132855	ANGPTL3	protein_coding
ENSG00000132879	FBXO44	protein_coding
ENSG00000132881	RSG1	protein_coding
ENSG00000132906	CASP9	protein_coding
ENSG00000133019	CHRM3	protein_coding
ENSG00000133048	CHI3L1	protein_coding
ENSG00000133055	MYBPH	protein_coding
ENSG00000133056	PIK3C2B	protein_coding
ENSG00000133059	DSTYK	protein_coding
ENSG00000133063	CHIT1	protein_coding
ENSG00000133065	SLC41A1	protein_coding
ENSG00000133067	LGR6	protein_coding
ENSG00000133069	TMCC2	protein_coding
ENSG00000133216	EPHB2	protein_coding
ENSG00000133226	SRRM1	protein_coding
ENSG00000134183	GNAT2	protein_coding
ENSG00000134184	GSTM1	protein_coding
ENSG00000134186	PRPF38B	protein_coding
ENSG00000134193	REG4	protein_coding
ENSG00000134198	TSPAN2	protein_coding
ENSG00000134200	TSHB	protein_coding
ENSG00000134201	GSTM5	protein_coding
ENSG00000134202	GSTM3	protein_coding
ENSG00000134207	SYT6	protein_coding
ENSG00000134215	VAV3	protein_coding
ENSG00000134216	CHIA	protein_coding
ENSG00000134222	PSRC1	protein_coding
ENSG00000134240	HMGCS2	protein_coding
ENSG00000134242	PTPN22	protein_coding
ENSG00000134243	SORT1	protein_coding
ENSG00000134245	WNT2B	protein_coding
ENSG00000134247	PTGFRN	protein_coding
ENSG00000134248	HBXIP	protein_coding
ENSG00000134249	ADAM30	protein_coding
ENSG00000134250	NOTCH2	protein_coding
ENSG00000134253	TRIM45	protein_coding
ENSG00000134255	CEPT1	protein_coding
ENSG00000134256	CD101	protein_coding
ENSG00000134258	VTCN1	protein_coding
ENSG00000134259	NGF	protein_coding
ENSG00000134262	AP4B1	protein_coding
ENSG00000134365	CFHR4	protein_coding
ENSG00000134369	NAV1	protein_coding
ENSG00000134371	CDC73	protein_coding
ENSG00000134375	TIMM17A	protein_coding
ENSG00000134376	CRB1	protein_coding
ENSG00000134389	CFHR5	protein_coding
ENSG00000134644	PUM1	protein_coding
ENSG00000134668	SPOCD1	protein_coding
ENSG00000134684	YARS	protein_coding
ENSG00000134686	PHC2	protein_coding
ENSG00000134690	CDCA8	protein_coding
ENSG00000134697	GNL2	protein_coding
ENSG00000134698	EIF2C4	protein_coding
ENSG00000134709	HOOK1	protein_coding
ENSG00000134716	CYP2J2	protein_coding
ENSG00000134717	BTF3L4	protein_coding
ENSG00000134744	ZCCHC11	protein_coding
ENSG00000134748	PRPF38A	protein_coding
ENSG00000135744	AGT	protein_coding
ENSG00000135747	ZNF670	protein_coding
ENSG00000135749	PCNXL2	protein_coding
ENSG00000135750	KCNK1	protein_coding
ENSG00000135763	URB2	protein_coding
ENSG00000135766	EGLN1	protein_coding
ENSG00000135773	CAPN9	protein_coding
ENSG00000135775	COG2	protein_coding
ENSG00000135776	ABCB10	protein_coding
ENSG00000135778	NTPCR	protein_coding
ENSG00000135801	TAF5L	protein_coding
ENSG00000135821	GLUL	protein_coding
ENSG00000135823	STX6	protein_coding
ENSG00000135824	RGS8	protein_coding
ENSG00000135828	RNASEL	protein_coding
